Finished,ResponseId,UserLanguage,CF2,country,D1,D2,D2 CODINGS,D3,D3_13_TEXT,D7,D7_9_TEXT,Q59,Q59_13_TEXT,Q178,Q179,Q180,C3,C3_16_TEXT,C3_12_TEXT,Q182,Q182_23_TEXT,Q181,Q184,Q57,C4,C4 CODINGS,Q58_1,Q58_2,Q58_3,Q58_4,Q58_5,Q58_6,Q58_7,Q189,Q189_9_TEXT,Q191,Q191 CODINGS,Q192,Q192_9_TEXT,Q195,Q196,Q196_9_TEXT,Q198,Q199,Q199_9_TEXT,Q201,Q202,Q202_9_TEXT,Q204,Q205,Q205_9_TEXT,Q207,Q208_1,Q208_2,Q208_3,Q208_4,Q208_5,Q208_6,Q208_7,Q208_8,Q208_9,Q56_1,Q56_2,Q56_3,Q56_4,Q56_5,Q56_6,Q56_7,Q56_8,Q56_9,Q210,Q185,Q185_21_TEXT,C2_1,C2_2,C2_3,C2_4,C2_5,C2_6,C2_7,C2_8,C2_9,C2_10,C2_11,C2_12,Q60,Q186_1,Q186_2,Q186_3,Q186_4,Q186_5,Q186_6,Q186_7,Q186_8,Q186_9,Q186_10,Q186_11,Q186_12,Q61
Finished,Response ID,User Language,"YOU ARE MAKING A DECISION WHETHER OR NOT TO PARTICIPATE.



IF YOU WANT TO PARTICIPATE, PLEASE SELECT THE ""AGREE"" OPTION BELOW, AND START THE SURVEY.",List of Countries,How many years of experience in software development do you have?,"Please indicate which domains you have developed software for (e.g., banking or healthcare).",,How would you describe your software engineering role(s)? (Select all that apply) - Selected Choice,How would you describe your software engineering role(s)? (Select all that apply) - Other (please specify) - Text,What types of systems do you have significant experience developing? (Select all that apply.) - Selected Choice,What types of systems do you have significant experience developing? (Select all that apply.) - Others (please specify) - Text,Which of these languages do you regularly create code in? (Select all that apply) - Selected Choice,Which of these languages do you regularly create code in? (Select all that apply) - Others (please specify) - Text,"Have you used or do you use prompt-integrated generative AI tools to assist with software development? 

(An AI Tool being ""prompt-integrated"" means that you, the user, can be actively involved in constructing a prompt to guide the tool’s output, rather than the tool exclusively running in the background. For the rest of this survey, any mention of generative AI implies a prompt-integrated tool.)",How would you rate your personal skill level at using generative AI?,Which of these software engineering tasks do you regularly use AI to assist with? (Select all that apply),Which of these prompt-integrated AI tools do you regularly use to assist with software engineering tasks? (Select all that apply) - Selected Choice,Which of these prompt-integrated AI tools do you regularly use to assist with software engineering tasks? (Select all that apply) - AI-integrated IDE (e.g. Windsurf) (please specify) - Text,Which of these prompt-integrated AI tools do you regularly use to assist with software engineering tasks? (Select all that apply) - Others (please specify) - Text,"How, if at all, does your development workflow incorporate AI tools? (Select all that apply) - Selected Choice","How, if at all, does your development workflow incorporate AI tools? (Select all that apply) - Other (please specify): - Text",Approximately how often do you use generative AI tools when working on software engineering tasks?,"How, if at all, has using AI tools affected your productivity as a developer?","Have AI tools changed your approach to software development, compared to developing software without AI tools?",How has your use of AI tools changed your approach to software development? (Please respond as briefly or as fully as you'd like; any insights are appreciated.),,Please rate your familiarity with the following prompting strategies: - Few-Shot Learning - Providing examples to guide generation,Please rate your familiarity with the following prompting strategies: - Output Automator - Generate scripts to implement the AI-suggested solutions,Please rate your familiarity with the following prompting strategies: - Meta-prompting - Having AI suggest better prompts for specific tasks,"Please rate your familiarity with the following prompting strategies: - Meta Language Creation - Adjusts/Adds specific semantics to words, phrases, or symbols in the prompt",Please rate your familiarity with the following prompting strategies: - Output Style - Make the AI’s output follow a particular format or style,Please rate your familiarity with the following prompting strategies: - Persona - Ask AI to complete a task while acting as a certain role or character,Please rate your familiarity with the following prompting strategies: - Condition Check - Produce certain type(s) of output when specific condition(s) are met,What specific information do you most often include when prompting AI to generate code? (Select all that apply) - Selected Choice,What specific information do you most often include when prompting AI to generate code? (Select all that apply) - Others (please specify): - Text,Please elaborate on your prompting strategies for code generation (Optional),,What specific information do you most often include when prompting AI to refactor code? (Select all that apply) - Selected Choice,What specific information do you most often include when prompting AI to refactor code? (Select all that apply) - Others (please specify): - Text,Please elaborate on your prompting strategies for code refactoring (Optional),What specific information do you most often include when prompting AI to create or improve tests? (Select all that apply) - Selected Choice,What specific information do you most often include when prompting AI to create or improve tests? (Select all that apply) - Other (please specify): - Text,Please elaborate on your prompting strategies for software testing (Optional),What specific information do you most often include when prompting AI to help with debugging or program repair? (Select all that apply) - Selected Choice,What specific information do you most often include when prompting AI to help with debugging or program repair? (Select all that apply) - Other (please specify): - Text,Please elaborate on your prompting strategies for code debugging (Optional),What specific information do you most often include when prompting AI to create or improve documentation? (Select all that apply) - Selected Choice,What specific information do you most often include when prompting AI to create or improve documentation? (Select all that apply) - Other (please specify): - Text,Please elaborate on your prompting strategies for code documentation (Optional),What specific information do you most often include when prompting AI to help with code review? (Select all that apply) - Selected Choice,What specific information do you most often include when prompting AI to help with code review? (Select all that apply) - Other (please specify): - Text,Please elaborate on your prompting strategies for code review (Optional),"How often do you structure your conversations with AI tools for software engineering tasks in the following ways? - Single comprehensive prompt - Providing all requirements, context, and constraints in one detailed prompt",How often do you structure your conversations with AI tools for software engineering tasks in the following ways? - Incremental refinement - Starting with a basic request and iteratively refining based on AI responses,How often do you structure your conversations with AI tools for software engineering tasks in the following ways? - Step-by-step guidance - Breaking down complex problems into sequential steps for the AI to solve,How often do you structure your conversations with AI tools for software engineering tasks in the following ways? - Exploratory dialogue - Asking the AI to explore multiple solutions or approaches before implementation,How often do you structure your conversations with AI tools for software engineering tasks in the following ways? - Context building - Progressively adding more context and background information as the conversation develops,How often do you structure your conversations with AI tools for software engineering tasks in the following ways? - Feedback loop - Providing explicit feedback on AI responses to guide subsequent outputs,How often do you structure your conversations with AI tools for software engineering tasks in the following ways? - Template-based approach - Using consistent prompt templates adapted for specific task types,How often do you structure your conversations with AI tools for software engineering tasks in the following ways? - Multi-part problem solving - Dividing the task into sub-problems addressed in sequence,How often do you structure your conversations with AI tools for software engineering tasks in the following ways? - Comparative analysis - Having the AI generate multiple solutions for comparison,"When an AI response doesn't meet your needs, how often do you use each of the following strategies to guide it? - Point out specific issues - Identify exact problems or errors in the AI's response","When an AI response doesn't meet your needs, how often do you use each of the following strategies to guide it? - Provide additional context - Add more background information or project details","When an AI response doesn't meet your needs, how often do you use each of the following strategies to guide it? - Include example solutions - Share examples of the type of output you're looking for","When an AI response doesn't meet your needs, how often do you use each of the following strategies to guide it? - Request explanations first - Ask the AI to explain its approach before making changes","When an AI response doesn't meet your needs, how often do you use each of the following strategies to guide it? - Reformulate the original request - Restate your request using different wording or structure","When an AI response doesn't meet your needs, how often do you use each of the following strategies to guide it? - Break down complex problems - Simplify the task into more manageable components","When an AI response doesn't meet your needs, how often do you use each of the following strategies to guide it? - Add constraints or requirements - Specify additional limitations or criteria","When an AI response doesn't meet your needs, how often do you use each of the following strategies to guide it? - Request alternative approaches - Ask for different solutions to the same problem","When an AI response doesn't meet your needs, how often do you use each of the following strategies to guide it? - Provide feedback on partial solutions - Give feedback on specific parts that work while requesting improvements to others","In your estimation, how many exchanges on average with the AI tool do you need to accomplish your immediate software engineering goal?",For which specific types of software engineering tasks do you regularly use AI tools? (Select all that apply) - Selected Choice,For which specific types of software engineering tasks do you regularly use AI tools? (Select all that apply) - Others (please specify) - Text,"How reliable do you find AI tools for each of these software engineering scenarios? - Implementing complex algorithms (e.g. multiple edge cases, intricate logic flows, mathematical computations)","How reliable do you find AI tools for each of these software engineering scenarios? - Creating code for system integration (e.g. connecting with external APIs, third-party libraries, services)","How reliable do you find AI tools for each of these software engineering scenarios? - Modernizing outdated code patterns (e.g. updating to current language features, migrating between frameworks)","How reliable do you find AI tools for each of these software engineering scenarios? - Refactoring for performance gains (e.g. optimizing algorithms, reducing resource consumption)","How reliable do you find AI tools for each of these software engineering scenarios? - Test case design and coverage (e.g. identifying edge cases, appropriate test coverage, requirements validation)","How reliable do you find AI tools for each of these software engineering scenarios? - Test code maintainability (e.g. generating maintainable tests, appropriate assertions, handling test dependencies)","How reliable do you find AI tools for each of these software engineering scenarios? - Root cause analysis (e.g. diagnosing complex interactions, identifying underlying issues vs. symptoms)","How reliable do you find AI tools for each of these software engineering scenarios? - Context-dependent bugs (e.g. environment-specific issues, legacy code problems)","How reliable do you find AI tools for each of these software engineering scenarios? - Documenting implementation rationale (e.g. explaining the ""why"" behind decisions, architectural considerations)","How reliable do you find AI tools for each of these software engineering scenarios? - Maintaining documentation accuracy (e.g. consistency with code changes, technical accuracy)","How reliable do you find AI tools for each of these software engineering scenarios? - Contextual code understanding (e.g. comprehending business logic, project-specific patterns)","How reliable do you find AI tools for each of these software engineering scenarios? - Non-functional requirements assessment (e.g. security vulnerabilities, performance implications)","Please list any other software engineering scenarios not represented above which you have used generative AI tools for, and indicate their reliability.","How often do you encounter the following issues when using AI tools for software engineering tasks? - Code correctness and compatibility issues (e.g. hallucinated functions/APIs, incorrect syntax, compilation errors)","How often do you encounter the following issues when using AI tools for software engineering tasks? - Codebase consistency issues (e.g. misalignment with existing code styles, violation of project architecture)","How often do you encounter the following issues when using AI tools for software engineering tasks? - Unintended behavior changes (e.g. altering code functionality, introducing subtle bugs, breaking existing tests)","How often do you encounter the following issues when using AI tools for software engineering tasks? - Incomplete code transformations (e.g. partial refactorings, inconsistent application of patterns)","How often do you encounter the following issues when using AI tools for software engineering tasks? - Tests that miss actual requirements (e.g. tests don't verify intended behavior, miss important edge cases)","How often do you encounter the following issues when using AI tools for software engineering tasks? - Low-value tests with inadequate coverage (e.g. superficial tests, insufficient test depth, overly implementation-specific)","How often do you encounter the following issues when using AI tools for software engineering tasks? - Suggested bug fixes miss root causes (e.g. addressing symptoms instead of underlying issues, failure to diagnose complex issues)","How often do you encounter the following issues when using AI tools for software engineering tasks? - Fixes that introduce new bugs (e.g. creating side effects, breaking other functionality)","How often do you encounter the following issues when using AI tools for software engineering tasks? - Inaccurate or incomplete technical documentation (e.g. wrong details, missing important functions)",How often do you encounter the following issues when using AI tools for software engineering tasks? - Superficial explanations of complex functionality (e.g. generic descriptions lacking technical depth),"How often do you encounter the following issues when using AI tools for software engineering tasks? - Superficial code analysis (e.g. overlooking critical bugs, missing non-functional requirements)","How often do you encounter the following issues when using AI tools for software engineering tasks? - False positives and hallucinations (e.g. flagging non-issues, hallucinating non-existent problems)","Please list any other issues you have encountered with generative AI not represented above, and indicate their frequency."
"{""ImportId"":""finished""}",,"{""ImportId"":""userLanguage""}","{""ImportId"":""QID3""}","{""ImportId"":""QID173""}","{""ImportId"":""QID49_TEXT""}","{""ImportId"":""QID54_TEXT""}",,"{""ImportId"":""QID50""}","{""ImportId"":""QID50_13_TEXT""}","{""ImportId"":""QID53""}","{""ImportId"":""QID53_9_TEXT""}","{""ImportId"":""QID223""}","{""ImportId"":""QID223_13_TEXT""}","{""ImportId"":""QID179""}","{""ImportId"":""QID180""}","{""ImportId"":""QID181""}","{""ImportId"":""QID11""}","{""ImportId"":""QID11_16_TEXT""}","{""ImportId"":""QID11_12_TEXT""}","{""ImportId"":""QID183""}","{""ImportId"":""QID183_23_TEXT""}","{""ImportId"":""QID182""}","{""ImportId"":""QID185""}","{""ImportId"":""QID221""}","{""ImportId"":""QID92_TEXT""}",E8,"{""ImportId"":""QID222_10""}","{""ImportId"":""QID222_11""}","{""ImportId"":""QID222_12""}","{""ImportId"":""QID222_13""}","{""ImportId"":""QID222_14""}","{""ImportId"":""QID222_15""}","{""ImportId"":""QID222_16""}","{""ImportId"":""QID190""}","{""ImportId"":""QID190_9_TEXT""}","{""ImportId"":""QID192_TEXT""}",T3,"{""ImportId"":""QID193""}","{""ImportId"":""QID193_9_TEXT""}","{""ImportId"":""QID196_TEXT""}","{""ImportId"":""QID197""}","{""ImportId"":""QID197_9_TEXT""}","{""ImportId"":""QID199_TEXT""}","{""ImportId"":""QID200""}","{""ImportId"":""QID200_9_TEXT""}","{""ImportId"":""QID202_TEXT""}","{""ImportId"":""QID203""}","{""ImportId"":""QID203_9_TEXT""}","{""ImportId"":""QID205_TEXT""}","{""ImportId"":""QID206""}","{""ImportId"":""QID206_9_TEXT""}","{""ImportId"":""QID208_TEXT""}","{""ImportId"":""QID209_1""}","{""ImportId"":""QID209_2""}","{""ImportId"":""QID209_3""}","{""ImportId"":""QID209_4""}","{""ImportId"":""QID209_5""}","{""ImportId"":""QID209_6""}","{""ImportId"":""QID209_7""}","{""ImportId"":""QID209_8""}","{""ImportId"":""QID209_9""}","{""ImportId"":""QID220_1""}","{""ImportId"":""QID220_2""}","{""ImportId"":""QID220_3""}","{""ImportId"":""QID220_4""}","{""ImportId"":""QID220_5""}","{""ImportId"":""QID220_6""}","{""ImportId"":""QID220_7""}","{""ImportId"":""QID220_8""}","{""ImportId"":""QID220_9""}","{""ImportId"":""QID211""}","{""ImportId"":""QID186""}","{""ImportId"":""QID186_21_TEXT""}","{""ImportId"":""QID166_1""}","{""ImportId"":""QID166_2""}","{""ImportId"":""QID166_6""}","{""ImportId"":""QID166_7""}","{""ImportId"":""QID166_9""}","{""ImportId"":""QID166_10""}","{""ImportId"":""QID166_13""}","{""ImportId"":""QID166_16""}","{""ImportId"":""QID166_18""}","{""ImportId"":""QID166_19""}","{""ImportId"":""QID166_21""}","{""ImportId"":""QID166_23""}","{""ImportId"":""QID224_TEXT""}","{""ImportId"":""QID187_1""}","{""ImportId"":""QID187_3""}","{""ImportId"":""QID187_5""}","{""ImportId"":""QID187_6""}","{""ImportId"":""QID187_8""}","{""ImportId"":""QID187_11""}","{""ImportId"":""QID187_12""}","{""ImportId"":""QID187_14""}","{""ImportId"":""QID187_16""}","{""ImportId"":""QID187_17""}","{""ImportId"":""QID187_19""}","{""ImportId"":""QID187_20""}","{""ImportId"":""QID225_TEXT""}"
TRUE,7,EN,I agree to participate in the described study.,United States of America,5,"Healthcare, ubiquitous sensors, AI","['Healthcare', 'AI / Machine Learning', 'Sensors']","Programmer,Tester,Project Technical Lead,Researcher,Analyst",,"Web applications,AI-intensive systems",,"Python,Others (please specify)",HTML,Yes,"2 - Somewhat proficient: I find AI tools occasionally useful, but limited and unreliable","Software Testing ,Code Debugging,Code Review","ChatGPT,Copilot",,,Web interfaces,,A few times per month,Slightly increased productivity,No,,,Heard of it but don't use,Use occasionally,Never heard of it,Never heard of it,Use occasionally,Never heard of it,Use occasionally,,,,,,,,"Code to be tested with specifications,Mocking or dependency handling instructions,Performance or resource constraints for tests",,,"Full error messages and stack traces,Previously attempted solutions,Screenshots or visual evidence of the issue",,,,,,"Code to be reviewed with context,Performance expectations",,,Often,Rarely,Sometimes,Never,Sometimes,Often,Sometimes,Sometimes,Rarely,Often,Often,Rarely,Never,Sometimes,Sometimes,Sometimes,Sometimes,Often,2-3,"Issue diagnosis (e.g. understanding errors, identifying root causes),Bug fixing (e.g. resolving exceptions, fixing logical errors),Functional / performance assessment (e.g. efficiency, potential bugs, security vulnerabilities)",,,,,,Somewhat reliable,Somewhat unreliable,Somewhat reliable,Somewhat reliable,,,Somewhat reliable,Unsure / Haven’t tried,Generating framework code that I can make my own changes to - Reliable,,,,,Sometimes,Sometimes,Rarely,Rarely,,,Rarely,Sometimes,
TRUE,8,EN,I agree to participate in the described study.,United States of America,6,Translation and language identification,['Language Translation'],Researcher,,"Web applications,Development tools (compilers, programming languages, etc.)",,"Python,C",,Yes,3 - Proficient: I can use AI to effectively assist in some way for most tasks,"Code Generation,Code Debugging",ChatGPT,,,"Web interfaces,API integration with development pipelines",,Multiple times daily,Significantly increased productivity,Yes,"I think the most important way AI tools have changed my approach is for use of libraries.  Before, if I wanted to write code that requires a particular small but unfamiliar task (such as accessing websites or os features) I would usually need to research a specific library to figure out how to do this.  Instead, now I simply ask ChatGPT to provide a code snippet of this task and use it as a starting point for my overall system.  This saves a great deal of time and effort.","['Provide_a_starting_point', 'Saves_time_or_boosts_productivity', 'Ask_AI_instead_of_web_search']",Use regularly,Heard of it but don't use,Use occasionally,Never heard of it,Use regularly,Use occasionally,Heard of it but don't use,"Example inputs and expected outputs,Performance or optimization requirements,Description of existing codebase architecture",,"Oftentimes my prompts might look something like this:  ""I need to write code to do XYZ, could you please give me Python code to do so?  For example, if the input was N, the program would return M.""","['Provide_goal', 'Clarify_requirements_or_output', 'Specify_language', 'Provide_input_or_output_examples']",,,,,,,"Full error messages and stack traces,Steps to reproduce the issue,Previously attempted solutions,System architecture or component interactions",,"Normally if I get an error that seems completely nonsensical, or the error message is long and difficult to parse through, I'll copy and paste it (sometimes along with the relevant code) saying something like ""I'm writing code to do XYZ but got this.  Could you please tell me what it means and how to fix it? [pasted error message]""",,,,,,,Often,Sometimes,Rarely,Often,Often,Often,Rarely,Sometimes,Sometimes,Often,Often,Sometimes,Rarely,Often,Rarely,Often,Rarely,Often,2-3,"Designing software and code architectures (e.g. software design, architectural patterns),Setting up structural code (e.g. boilerplate, function headers, imports),Implementing new code components (e.g. includes creating data structures, writing functions),Issue diagnosis (e.g. understanding errors, identifying root causes),Bug fixing (e.g. resolving exceptions, fixing logical errors)",,Somewhat reliable,Somewhat reliable,,,,,Very reliable,Somewhat unreliable,,,,,,Rarely,Often,,,,,Always,Often,,,,,
TRUE,9,EN,I agree to participate in the described study.,United States of America,8,"geological space science, cybersec ","['Security', 'Geology']",Programmer,,Desktop applications,,"Python,C,Java",,Yes,"2 - Somewhat proficient: I find AI tools occasionally useful, but limited and unreliable",Code Generation,Llama,,,My workflow does not incorporate AI tools,,Rarely,Significantly decreased productivity,No,,,Heard of it but don't use,Use occasionally,Heard of it but don't use,Heard of it but don't use,Use occasionally,Use occasionally,Never heard of it,Others (please specify):,"I don't use ai much because it actively hinders me, and ai slop makes it harder to find results ",,,,,,,,,,,,,,,,,,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Unsure,Others (please specify),I don't use it much because it's not amazing ,Very unreliable,Very unreliable,,,,,,,,,,,,Often,Often,,,,,,,,,,,
TRUE,10,EN,I agree to participate in the described study.,United States of America,7,Hobby projects,['None'],Programmer,,"Web applications,Mobile applications,Desktop applications,Development tools (compilers, programming languages, etc.),Libraries/frameworks",,"Python,Java,JavaScript,Others (please specify)","Kotlin, Rust, Lua, TypeScript",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,11,EN,I agree to participate in the described study.,United States of America,8,"Programming Languages, Open Source, Law","['Software', 'Legal']","Programmer,Consultant,Researcher",,"Web applications,Mobile applications,Desktop applications,Development tools (compilers, programming languages, etc.),Libraries/frameworks",,"Python,C,JavaScript,Others (please specify)","D, J, Ruby",Yes,"4 - Very proficient: With time, I can almost always get the desired output for most tasks",Software Testing ,"ChatGPT,Others (please specify)",,I do not regularly use AI tools,My workflow does not incorporate AI tools,,Rarely,Slightly decreased productivity,No,,,Use regularly,Heard of it but don't use,Heard of it but don't use,Never heard of it,Heard of it but don't use,Use regularly,Use occasionally,,,,,,,,Examples of test cases (inputs-output mappings),,"Two prompts: One for black-box testing (describe what the function should do, produce test cases) and one for white-box testing (give the source code of the function(s) being tested, and generate test cases on that basis).",,,,,,,,,,Often,Sometimes,Never,Never,Never,Never,Often,Never,Never,Sometimes,Never,Sometimes,Never,Often,Never,Rarely,Sometimes,Often,4-6,"Test creation and implementation (e.g. unit, integration, end-to-end test code)",,,,,,Somewhat reliable,Somewhat unreliable,,,,,,,,,,,,Often,Often,,,,,,,
TRUE,12,EN,I agree to participate in the described study.,Turkey,15,"professionally, for telecommunications, and web backend","['Websites / Internet', 'Communication']","Programmer,Software Architect",,"Middleware,Development tools (compilers, programming languages, etc.),Libraries/frameworks",,"Python,C++,C,Others (please specify)",Rust,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,13,EN,I agree to participate in the described study.,United States of America,3,"healthcare, banking, retail","['Banking', 'Healthcare', 'Business']",Programmer,,"Web applications,Mobile applications",,"JavaScript,Go,Others (please specify)","Haskell, Kotlin, Dart",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,14,EN,I agree to participate in the described study.,United States of America,5,Government/Defense,"['Military / Defense', 'Government']","IT Manager,Other (please specify)",Cybersecurity,Operating systems,,Python,,Yes,"4 - Very proficient: With time, I can almost always get the desired output for most tasks","Code Generation,Code Review","ChatGPT,Copilot",,,Command line tools,,Multiple times daily,Slightly increased productivity,Yes,"AI has brought the complexity of coding down to the ""everyman"". ",['Reduces coding complexity'],Use occasionally,Heard of it but don't use,Use occasionally,Use occasionally,Never heard of it,Never heard of it,Never heard of it,"Example inputs and expected outputs,Desired code style and naming conventions",,,,,,,,,,,,,,,,"Project coding standards and guidelines,Security or compliance requirements",,,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Often,4-6,"Functional / performance assessment (e.g. efficiency, potential bugs, security vulnerabilities)",,Somewhat reliable,Somewhat unreliable,,,,,,,,,Somewhat reliable,Very unreliable,,Sometimes,Sometimes,,,,,,,,,Rarely,Rarely,
